10101001-001,春,神学,0,0,0,0,0,0,,
10101001-002,春,神学,0,0,0,0,0,0,,
10101001-003,春,神学,0,0,0,0,0,0,,
10101001-011,春,神学,0,0,0,0,0,0,,
10101011-001,春,聖書学１,0,0,0,0,0,0,,
10101011-051,春,聖書学１,150,14.0,43.3,25.3,7.3,9.3,0.7,2.5
10101012-001,秋,聖書学２,0,0,0,0,0,0,,
10101012-051,秋,聖書学２,0,0,0,0,0,0,,
10101013-000,春,聖書学３,0,0,0,0,0,0,,
10101014-000,秋,聖書学４,0,0,0,0,0,0,,
10101015-000,春,聖書学５,28,39.3,35.7,21.4,3.6,0.0,0.0,3.1
10101016-000,秋,聖書学６,30,33.3,33.3,10.0,3.3,20.0,0.0,2.6
10101028-000,秋,聖書学１８,8,0,0,0,0,0,,
10101031-000,春,聖書学２１,49,42.9,18.4,8.2,6.1,22.4,2.0,2.5
10101032-000,秋,聖書学２２,32,37.5,6.3,15.6,0.0,37.5,3.1,2.1
10101039-000,春,聖書学２９,0,0,0,0,0,0,,
10101040-000,秋,聖書学３０,0,0,0,0,0,0,,
10101043-000,春,聖書学３３,25,32.0,20.0,16.0,8.0,20.0,4.0,2.4
10101044-000,秋,聖書学３４,0,0,0,0,0,0,,
10101067-000,春,聖書学演習１７,0,0,0,0,0,0,,
10101068-000,秋,聖書学演習１８,0,0,0,0,0,0,,
10101073-000,春,聖書学演習２３,0,0,0,0,0,0,,
10101074-000,秋,聖書学演習２４,0,0,0,0,0,0,,
10101075-000,春,聖書学演習２５,0,0,0,0,0,0,,
10101076-000,秋,聖書学演習２６,0,0,0,0,0,0,,
10101078-000,春,聖書学演習２８,0,0,0,0,0,0,,
10101081-000,春,キリスト教史１,55,20.0,27.3,20.0,14.5,16.4,1.8,2.2
10101082-000,秋,キリスト教史２,47,19.1,19.1,12.8,29.8,17.0,2.1,1.9
10101083-000,秋,キリスト教史３,37,43.2,21.6,8.1,0.0,27.0,0.0,2.5
10101084-000,春,キリスト教史４,40,50.0,12.5,7.5,0.0,27.5,2.5,2.6
10101091-000,春,キリスト教史１１,73,23.3,26.0,19.2,16.4,15.1,0.0,2.3
10101111-000,春,キリスト教史演習１,0,0,0,0,0,0,,
10101112-000,秋,キリスト教史演習２,0,0,0,0,0,0,,
10101121-000,春,キリスト教史演習１１,0,0,0,0,0,0,,
10101122-000,秋,キリスト教史演習１２,0,0,0,0,0,0,,
10101123-000,秋,キリスト教史演習１３,0,0,0,0,0,0,,
10101125-000,春,キリスト教史演習１５,0,0,0,0,0,0,,
10101126-000,秋,キリスト教史演習１６,0,0,0,0,0,0,,
10101141-000,春,組織神学１,62,38.7,19.4,16.1,4.8,19.4,1.6,2.5
10101145-000,秋,組織神学５,108,55.6,20.4,8.3,1.9,13.9,0.0,3.0
10101152-000,春,組織神学１２,0,0,0,0,0,0,,
10101153-000,春,組織神学１３,152,52.0,28.3,13.2,3.9,2.6,0.0,3.2
10101154-000,秋,組織神学１４,218,50.0,31.2,6.9,3.7,7.3,0.9,3.1
10101175-000,秋,組織神学演習５,0,0,0,0,0,0,,
10101179-000,春,組織神学演習９,0,0,0,0,0,0,,
10101180-000,秋,組織神学演習１０,0,0,0,0,0,0,,
10101185-000,春,組織神学演習１５,0,0,0,0,0,0,,
10101186-000,秋,組織神学演習１６,0,0,0,0,0,0,,
10101201-000,秋,実践神学１,0,0,0,0,0,0,,
10101202-000,春,実践神学２,94,21.3,28.7,16.0,17.0,16.0,1.1,2.2
10101204-000,秋,実践神学４,0,0,0,0,0,0,,
10101207-000,秋,実践神学７,0,0,0,0,0,0,,
10101221-000,春,実践神学２１,35,54.3,5.7,22.9,2.9,14.3,0.0,2.8
10101223-000,秋,実践神学２３,36,36.1,19.4,25.0,2.8,16.7,0.0,2.6
10101231-000,春,実践神学演習１,0,0,0,0,0,0,,
10101232-000,秋,実践神学演習２,0,0,0,0,0,0,,
10101291-000,春,キリスト教文化学演習１,0,0,0,0,0,0,,
10101292-000,秋,キリスト教文化学演習２,0,0,0,0,0,0,,
10101296-000,春,キリスト教文化学演習６,0,0,0,0,0,0,,
10101297-000,秋,キリスト教文化学演習７,0,0,0,0,0,0,,
10101305-000,春,キリスト教文化学演習１５,0,0,0,0,0,0,,
10101306-000,秋,キリスト教文化学演習１６,0,0,0,0,0,0,,
10101321-000,秋,宗教学１,54,25.9,37.0,3.7,7.4,22.2,3.7,2.4
10101322-000,秋,宗教学２,178,9.6,14.6,16.9,24.2,34.8,0.0,1.4
10101323-000,春,宗教学３,0,0,0,0,0,0,,
10101324-000,秋,宗教学４,68,29.4,23.5,26.5,1.5,17.6,1.5,2.5
10101331-000,秋,宗教学１１,0,0,0,0,0,0,,
10101332-000,秋,宗教学１２,0,0,0,0,0,0,,
10101333-000,春,宗教学１３,0,0,0,0,0,0,,
10101334-000,秋,宗教学１４,0,0,0,0,0,0,,
